task_id	task	language	runtime	opt-level	exec-mode
1	binaryTrees	cpp	wasmedge	default	interp
2	binaryTrees	cpp	wasmedge	default	jit
3	binaryTrees	cpp	wasmedge	default	aot
4	binaryTrees	cpp	wasmedge	O0	interp
5	binaryTrees	cpp	wasmedge	O0	jit
6	binaryTrees	cpp	wasmedge	O0	aot
7	binaryTrees	cpp	wasmedge	O1	interp
8	binaryTrees	cpp	wasmedge	O1	jit
9	binaryTrees	cpp	wasmedge	O1	aot
10	binaryTrees	cpp	wasmedge	O2	interp
11	binaryTrees	cpp	wasmedge	O2	jit
12	binaryTrees	cpp	wasmedge	O2	aot
13	binaryTrees	cpp	wasmedge	O3	interp
14	binaryTrees	cpp	wasmedge	O3	jit
15	binaryTrees	cpp	wasmedge	O3	aot
16	binaryTrees	cpp	wasmedge	Os	interp
17	binaryTrees	cpp	wasmedge	Os	jit
18	binaryTrees	cpp	wasmedge	Os	aot
19	binaryTrees	cpp	wasmedge	Oz	interp
20	binaryTrees	cpp	wasmedge	Oz	jit
21	binaryTrees	cpp	wasmedge	Oz	aot
22	binaryTrees	cpp	wamr	default	interp
23	binaryTrees	cpp	wamr	default	jit
24	binaryTrees	cpp	wamr	default	aot
25	binaryTrees	cpp	wamr	O0	interp
26	binaryTrees	cpp	wamr	O0	jit
27	binaryTrees	cpp	wamr	O0	aot
28	binaryTrees	cpp	wamr	O1	interp
29	binaryTrees	cpp	wamr	O1	jit
30	binaryTrees	cpp	wamr	O1	aot
31	binaryTrees	cpp	wamr	O2	interp
32	binaryTrees	cpp	wamr	O2	jit
33	binaryTrees	cpp	wamr	O2	aot
34	binaryTrees	cpp	wamr	O3	interp
35	binaryTrees	cpp	wamr	O3	jit
36	binaryTrees	cpp	wamr	O3	aot
37	binaryTrees	cpp	wamr	Os	interp
38	binaryTrees	cpp	wamr	Os	jit
39	binaryTrees	cpp	wamr	Os	aot
40	binaryTrees	cpp	wamr	Oz	interp
41	binaryTrees	cpp	wamr	Oz	jit
42	binaryTrees	cpp	wamr	Oz	aot
43	binaryTrees	cpp	wasmtime	default	jit
44	binaryTrees	cpp	wasmtime	default	aot
45	binaryTrees	cpp	wasmtime	O0	jit
46	binaryTrees	cpp	wasmtime	O0	aot
47	binaryTrees	cpp	wasmtime	O1	jit
48	binaryTrees	cpp	wasmtime	O1	aot
49	binaryTrees	cpp	wasmtime	O2	jit
50	binaryTrees	cpp	wasmtime	O2	aot
51	binaryTrees	cpp	wasmtime	O3	jit
52	binaryTrees	cpp	wasmtime	O3	aot
53	binaryTrees	cpp	wasmtime	Os	jit
54	binaryTrees	cpp	wasmtime	Os	aot
55	binaryTrees	cpp	wasmtime	Oz	jit
56	binaryTrees	cpp	wasmtime	Oz	aot
57	binaryTrees	cpp	wasmer	default	jit
58	binaryTrees	cpp	wasmer	default	aot
59	binaryTrees	cpp	wasmer	O0	jit
60	binaryTrees	cpp	wasmer	O0	aot
61	binaryTrees	cpp	wasmer	O1	jit
62	binaryTrees	cpp	wasmer	O1	aot
63	binaryTrees	cpp	wasmer	O2	jit
64	binaryTrees	cpp	wasmer	O2	aot
65	binaryTrees	cpp	wasmer	O3	jit
66	binaryTrees	cpp	wasmer	O3	aot
67	binaryTrees	cpp	wasmer	Os	jit
68	binaryTrees	cpp	wasmer	Os	aot
69	binaryTrees	cpp	wasmer	Oz	jit
70	binaryTrees	cpp	wasmer	Oz	aot
71	binaryTrees	go	wasmedge	default	interp
72	binaryTrees	go	wasmedge	default	jit
73	binaryTrees	go	wasmedge	default	aot
74	binaryTrees	go	wamr	default	interp
75	binaryTrees	go	wamr	default	jit
76	binaryTrees	go	wamr	default	aot
77	binaryTrees	go	wasmtime	default	jit
78	binaryTrees	go	wasmtime	default	aot
79	binaryTrees	go	wasmer	default	jit
80	binaryTrees	go	wasmer	default	aot
81	binaryTrees	rust	wasmedge	default	interp
82	binaryTrees	rust	wasmedge	default	jit
83	binaryTrees	rust	wasmedge	default	aot
84	binaryTrees	rust	wasmedge	O0	interp
85	binaryTrees	rust	wasmedge	O0	jit
86	binaryTrees	rust	wasmedge	O0	aot
87	binaryTrees	rust	wasmedge	O1	interp
88	binaryTrees	rust	wasmedge	O1	jit
89	binaryTrees	rust	wasmedge	O1	aot
90	binaryTrees	rust	wasmedge	O2	interp
91	binaryTrees	rust	wasmedge	O2	jit
92	binaryTrees	rust	wasmedge	O2	aot
93	binaryTrees	rust	wasmedge	O3	interp
94	binaryTrees	rust	wasmedge	O3	jit
95	binaryTrees	rust	wasmedge	O3	aot
96	binaryTrees	rust	wasmedge	Os	interp
97	binaryTrees	rust	wasmedge	Os	jit
98	binaryTrees	rust	wasmedge	Os	aot
99	binaryTrees	rust	wasmedge	Oz	interp
100	binaryTrees	rust	wasmedge	Oz	jit
101	binaryTrees	rust	wasmedge	Oz	aot
102	binaryTrees	rust	wamr	default	interp
103	binaryTrees	rust	wamr	default	jit
104	binaryTrees	rust	wamr	default	aot
105	binaryTrees	rust	wamr	O0	interp
106	binaryTrees	rust	wamr	O0	jit
107	binaryTrees	rust	wamr	O0	aot
108	binaryTrees	rust	wamr	O1	interp
109	binaryTrees	rust	wamr	O1	jit
110	binaryTrees	rust	wamr	O1	aot
111	binaryTrees	rust	wamr	O2	interp
112	binaryTrees	rust	wamr	O2	jit
113	binaryTrees	rust	wamr	O2	aot
114	binaryTrees	rust	wamr	O3	interp
115	binaryTrees	rust	wamr	O3	jit
116	binaryTrees	rust	wamr	O3	aot
117	binaryTrees	rust	wamr	Os	interp
118	binaryTrees	rust	wamr	Os	jit
119	binaryTrees	rust	wamr	Os	aot
120	binaryTrees	rust	wamr	Oz	interp
121	binaryTrees	rust	wamr	Oz	jit
122	binaryTrees	rust	wamr	Oz	aot
123	binaryTrees	rust	wasmtime	default	jit
124	binaryTrees	rust	wasmtime	default	aot
125	binaryTrees	rust	wasmtime	O0	jit
126	binaryTrees	rust	wasmtime	O0	aot
127	binaryTrees	rust	wasmtime	O1	jit
128	binaryTrees	rust	wasmtime	O1	aot
129	binaryTrees	rust	wasmtime	O2	jit
130	binaryTrees	rust	wasmtime	O2	aot
131	binaryTrees	rust	wasmtime	O3	jit
132	binaryTrees	rust	wasmtime	O3	aot
133	binaryTrees	rust	wasmtime	Os	jit
134	binaryTrees	rust	wasmtime	Os	aot
135	binaryTrees	rust	wasmtime	Oz	jit
136	binaryTrees	rust	wasmtime	Oz	aot
137	binaryTrees	rust	wasmer	default	jit
138	binaryTrees	rust	wasmer	default	aot
139	binaryTrees	rust	wasmer	O0	jit
140	binaryTrees	rust	wasmer	O0	aot
141	binaryTrees	rust	wasmer	O1	jit
142	binaryTrees	rust	wasmer	O1	aot
143	binaryTrees	rust	wasmer	O2	jit
144	binaryTrees	rust	wasmer	O2	aot
145	binaryTrees	rust	wasmer	O3	jit
146	binaryTrees	rust	wasmer	O3	aot
147	binaryTrees	rust	wasmer	Os	jit
148	binaryTrees	rust	wasmer	Os	aot
149	binaryTrees	rust	wasmer	Oz	jit
150	binaryTrees	rust	wasmer	Oz	aot
151	empty	cpp	wasmedge	default	interp
152	empty	cpp	wasmedge	default	jit
153	empty	cpp	wasmedge	default	aot
154	empty	cpp	wamr	default	interp
155	empty	cpp	wamr	default	jit
156	empty	cpp	wamr	default	aot
157	empty	cpp	wasmtime	default	jit
158	empty	cpp	wasmtime	default	aot
159	empty	cpp	wasmer	default	jit
160	empty	cpp	wasmer	default	aot
161	fibonacciSequence	cpp	wasmedge	default	interp
162	fibonacciSequence	cpp	wasmedge	default	jit
163	fibonacciSequence	cpp	wasmedge	default	aot
164	fibonacciSequence	cpp	wasmedge	O0	interp
165	fibonacciSequence	cpp	wasmedge	O0	jit
166	fibonacciSequence	cpp	wasmedge	O0	aot
167	fibonacciSequence	cpp	wasmedge	O1	interp
168	fibonacciSequence	cpp	wasmedge	O1	jit
169	fibonacciSequence	cpp	wasmedge	O1	aot
170	fibonacciSequence	cpp	wasmedge	O2	interp
171	fibonacciSequence	cpp	wasmedge	O2	jit
172	fibonacciSequence	cpp	wasmedge	O2	aot
173	fibonacciSequence	cpp	wasmedge	O3	interp
174	fibonacciSequence	cpp	wasmedge	O3	jit
175	fibonacciSequence	cpp	wasmedge	O3	aot
176	fibonacciSequence	cpp	wasmedge	Os	interp
177	fibonacciSequence	cpp	wasmedge	Os	jit
178	fibonacciSequence	cpp	wasmedge	Os	aot
179	fibonacciSequence	cpp	wasmedge	Oz	interp
180	fibonacciSequence	cpp	wasmedge	Oz	jit
181	fibonacciSequence	cpp	wasmedge	Oz	aot
182	fibonacciSequence	cpp	wamr	default	interp
183	fibonacciSequence	cpp	wamr	default	jit
184	fibonacciSequence	cpp	wamr	default	aot
185	fibonacciSequence	cpp	wamr	O0	interp
186	fibonacciSequence	cpp	wamr	O0	jit
